batch_index,benchmark_seed_index,source_panel_row,query_position,target_index,target_hash,seed_canonical_smiles,seed_heavy_atoms,sampling_seed,raw_proposals,token_decodable_proposals,token_decodable_fraction,rdkit_valid_proposals,rdkit_valid_fraction,rdkit_unique_valid_molecules,rdkit_unique_fraction_of_raw,rdkit_unique_fraction_of_valid,release_policy_accepted_proposals,release_policy_accepted_fraction,release_policy_unique_molecules,release_policy_unique_fraction_of_raw
38,76,1959,1959,18786,a58719e06f38c072f2e08f99d2a209e72e442ee2aadb5085f50f0fc59c00b00e,NSc1ccc(-c2cncc(-c3cnc4c(c3)CCCN4C(N)=O)c2)cc1,27,6526943533979358606,1000,1000,1.0,746,0.746,55,0.055,0.07372654155495978,746,0.746,55,0.055
38,77,3578,3578,16519,04857f3971460272ed47f687eeac626c0993d5996ac597edd69b3d31f857a179,COc1cc2nc(C=Cc3ccccc3Cl)n(-c3ccncc3)c(=O)c2cc1OC,30,6666241673580687956,1000,1000,1.0,678,0.678,244,0.244,0.35988200589970504,678,0.678,244,0.244
39,78,3277,3277,34317,570b2e457f282bf241f68a077128ec0f0afcde4554906795c37d8717ad0e1a24,COc1ccccc1C1CCCN1C(=O)N1CCc2ccccc2C1,25,696735031695008654,1000,1000,1.0,1000,1.0,1,0.001,0.001,1000,1.0,1,0.001
39,79,3866,3866,28211,ec72c9d03df1cfecd8ee2a4dcae3e7504a780f4bc90a154b2b32128efa366a3c,COCC1(CN2CC[NH+](C3CCC3)CC(C)C2)CCC1,20,8972883197291553772,1000,1000,1.0,1000,1.0,35,0.035,0.035,1000,1.0,35,0.035
40,80,5520,5520,25733,91fc3ef05749566c87c6cc5863fa7b769258f4c03346626cb81bfae0df57ef83,CC1CC(Nc2cccc(N3CCCS3(=O)=O)c2)C(C)O1,21,2348690878088585798,1000,1000,1.0,999,0.999,3,0.003,0.003003003003003003,999,0.999,3,0.003
40,81,7867,7867,22561,8042916d9e5ab58923b08aed5e84f2f9f2adde1c99f916c2397c69494959d168,NC1CC1NC(=O)Cc1cccs1,13,6010161845153615810,1000,1000,1.0,1000,1.0,1,0.001,0.001,1000,1.0,1,0.001
41,82,3895,3895,10263,4b522287dc8d0d560b670079ad1c5fdef2cd0ffac959ebf54528f55b4435eee9,CCCCC1CCC(C#Cc2ccc(F)nc2)CC1,19,9123631093891302918,1000,1000,1.0,996,0.996,3,0.003,0.0030120481927710845,996,0.996,3,0.003
41,83,820,820,18803,a7f110626637cf2741dbb1f748003e945f95f85b07b83cea35b8c3882df8e1bf,CCOc1c(F)cccc1C(=O)Nc1ccc(C(=O)N2CC(C)OC(C)C2)cc1,29,5982668775970695080,1000,1000,1.0,956,0.956,31,0.031,0.032426778242677826,956,0.956,31,0.031
42,84,483,483,39361,7df5852aadf0cdb48505325fdff4b6c398aa70b40ae747adf638b2a161730b04,COC(=O)c1cc(N)c(Nc2cnc(N)c(C)c2)c(Br)c1,21,8123846137886149609,1000,1000,1.0,998,0.998,121,0.121,0.12124248496993988,998,0.998,121,0.121
42,85,9712,9712,40543,8d18f19a725c19fc95f197dc9abdcfd2fce9a0021f1cab49f168e3bcea7cde4c,COc1ncccc1Nc1ccc(NC(C)=O)c(Cl)c1,20,1882254512825352519,1000,1000,1.0,1000,1.0,4,0.004,0.004,1000,1.0,4,0.004
