analysis,space,transform,train_cores,support_tier,alignment_mean,alignment_count,null_alignment_mean,null_alignment_count,alignment_gain_mean,alignment_gain_count
alignment_all,graph_256,C#CCCC[*:1]>>CC=C(C)[*:1],2,2-4,0.9257424438120163,1,-0.022743235019581212,1,0.9484856788315975,1
alignment_all,graph_256,C#CCCC[*:1]>>CCC(C)C[*:1],3,2-4,0.8859245956370009,2,0.1674107164457756,2,0.7185138791912253,2
alignment_all,graph_256,C#CCCC[*:1]>>CCC(C)[*:1],5,5-9,0.8883449288594023,2,0.012601419445954123,2,0.8757435094134481,2
alignment_all,graph_256,C#CCCC[*:1]>>CCC(CC)[*:1],3,2-4,0.9067198797895708,1,0.11484565689706627,1,0.7918742228925045,1
alignment_all,graph_256,C#CCCC[*:1]>>CCCC(C)[*:1],2,2-4,0.835508688040401,2,-0.061976498255115794,2,0.8974851862955167,2
alignment_all,graph_256,C#CCCC[*:1]>>CCC[*:1],2,2-4,0.8735156189190343,2,-0.12915654651823585,2,1.0026721654372701,2
alignment_all,graph_256,C#CCCC[*:1]>>CN(C)C(=O)C[*:1],2,2-4,0.6854648219577741,1,0.04605607589053749,1,0.6394087460672366,1
alignment_all,graph_256,C#CCCC[*:1]>>COC(C)[*:1],2,2-4,0.7754756657483199,1,0.28823766187353894,1,0.487238003874781,1
alignment_all,graph_256,C#CCCC[*:1]>>COCC[*:1],5,5-9,0.8369726223160052,1,0.31955832668321954,1,0.5174142956327856,1
alignment_all,graph_256,C#CCC[*:1]>>C#CCO[*:1],3,2-4,0.8167852790425884,1,-0.23045573684024975,1,1.047241015882838,1
alignment_all,graph_256,C#CCC[*:1]>>C#CC[*:1],3,2-4,0.7793206253704501,1,-0.10857182134644253,1,0.8878924467168926,1
alignment_all,graph_256,C#CCC[*:1]>>C#C[*:1],2,2-4,0.8194527790391621,1,-0.1531782063428338,1,0.9726309853819959,1
alignment_all,graph_256,C#CCC[*:1]>>C=C(C)C[*:1],4,2-4,0.9268465763954352,1,-0.2520048990199815,1,1.1788514754154167,1
alignment_all,graph_256,C#CCC[*:1]>>C=CC(C)(C)[*:1],2,2-4,0.6520892242804179,1,-0.10450685307234395,1,0.7565960773527619,1
alignment_all,graph_256,C#CCC[*:1]>>C=CC[*:1],2,2-4,0.8563494129793623,4,0.029868382112563235,4,0.8264810308667991,4
