analysis,minimum_train_cores,transformations,observations,metric,space,macro_estimate,ci_low,ci_high,positive_transformation_fraction
retrieval_mmp_direction,5,1141,2048,seed_retrieved_tanimoto,mean_node_128,0.6884795922278395,0.6826365984272034,0.6937929680416569,
retrieval_mmp_direction,5,1141,2048,seed_retrieved_tanimoto,hybrid_w1,0.6901760310253173,0.684695706928129,0.6950933896340658,
retrieval_mmp_direction,5,1141,2048,seed_retrieved_tanimoto,released_hybrid_w3,0.6898869848096454,0.6840437890587221,0.695039622626948,
retrieval_mmp_direction,5,1141,2048,seed_retrieved_tanimoto,hybrid_w6,0.6892922627077297,0.6835917253561753,0.6945624605160493,
retrieval_mmp_direction,10,407,915,exact_derivative_recall_at_1,graph_256,0.9443079443079443,0.9250614250614252,0.9631449631449631,
retrieval_mmp_direction,10,407,915,exact_derivative_recall_at_1,mean_node_128,0.9643734643734644,0.9496314496314495,0.978705978705979,
retrieval_mmp_direction,10,407,915,exact_derivative_recall_at_1,hybrid_w1,0.9709254709254709,0.9565929565929567,0.984029484029484,
retrieval_mmp_direction,10,407,915,exact_derivative_recall_at_1,released_hybrid_w3,0.9742014742014741,0.9615069615069616,0.986076986076986,
retrieval_mmp_direction,10,407,915,exact_derivative_recall_at_1,hybrid_w6,0.9647829647829649,0.9496314496314496,0.979115479115479,
retrieval_mmp_direction,10,407,915,exact_derivative_recall_at_10,graph_256,0.9901719901719902,0.9807534807534808,0.9975429975429976,
retrieval_mmp_direction,10,407,915,exact_derivative_recall_at_10,mean_node_128,0.9991809991809991,0.995904995904996,1.0,
retrieval_mmp_direction,10,407,915,exact_derivative_recall_at_10,hybrid_w1,0.9954954954954954,0.9885339885339884,1.0,
retrieval_mmp_direction,10,407,915,exact_derivative_recall_at_10,released_hybrid_w3,0.9991809991809991,0.995904995904996,1.0,
retrieval_mmp_direction,10,407,915,exact_derivative_recall_at_10,hybrid_w6,0.9991809991809991,0.995904995904996,1.0,
retrieval_mmp_direction,10,407,915,reciprocal_rank_within_50,graph_256,0.9623315907406815,0.9485749286033378,0.9759000300477574,
retrieval_mmp_direction,10,407,915,reciprocal_rank_within_50,mean_node_128,0.9797058422058422,0.9713075859950859,0.9880566646191646,
retrieval_mmp_direction,10,407,915,reciprocal_rank_within_50,hybrid_w1,0.9804639054639055,0.9697372616122617,0.9895892808392808,
retrieval_mmp_direction,10,407,915,reciprocal_rank_within_50,released_hybrid_w3,0.9854583036401219,0.9780637189728096,0.9922194922194921,
retrieval_mmp_direction,10,407,915,reciprocal_rank_within_50,hybrid_w6,0.9803269518385797,0.9718049665869435,0.9883177576927574,
retrieval_mmp_direction,10,407,915,scaffold_retention,graph_256,0.9758394758394758,0.9598689598689599,0.9889434889434889,
retrieval_mmp_direction,10,407,915,scaffold_retention,mean_node_128,0.9778869778869779,0.9631449631449631,0.9901719901719902,
retrieval_mmp_direction,10,407,915,scaffold_retention,hybrid_w1,0.9778869778869779,0.9631449631449631,0.9901719901719902,
retrieval_mmp_direction,10,407,915,scaffold_retention,released_hybrid_w3,0.9778869778869779,0.9631449631449631,0.9901719901719902,
retrieval_mmp_direction,10,407,915,scaffold_retention,hybrid_w6,0.9778869778869779,0.9631449631449631,0.9901719901719902,
retrieval_mmp_direction,10,407,915,mmp_consistency,graph_256,0.9529074529074527,0.9344799344799346,0.9701064701064701,
retrieval_mmp_direction,10,407,915,mmp_consistency,mean_node_128,0.972153972153972,0.9578214578214578,0.9848484848484848,
retrieval_mmp_direction,10,407,915,mmp_consistency,hybrid_w1,0.9762489762489762,0.9623259623259623,0.9877149877149877,
retrieval_mmp_direction,10,407,915,mmp_consistency,released_hybrid_w3,0.9807534807534807,0.9692874692874693,0.9909909909909911,
retrieval_mmp_direction,10,407,915,mmp_consistency,hybrid_w6,0.9725634725634725,0.9582309582309584,0.9856674856674857,
retrieval_mmp_direction,10,407,915,exact_requested_transform,graph_256,0.9443079443079443,0.9250614250614252,0.9631449631449631,
retrieval_mmp_direction,10,407,915,exact_requested_transform,mean_node_128,0.9643734643734644,0.9496314496314495,0.978705978705979,
