strategy,budget,population,count,mean,standard_deviation,minimum,q10,q25,median,q75,q90,maximum
hybrid_b500_s500_t120,1000,same_scaffold_non_mmp,7717,0.5750076467062937,0.11191478649685142,0.22448979318141937,0.4285714328289032,0.5,0.5789473652839661,0.6499999761581421,0.7142857313156128,1.0
hybrid_b500_s500_t120,1000,scaffold_changing,76781,0.46469330561791045,0.12885374085505302,0.0,0.3076923191547394,0.3733333349227905,0.45614033937454224,0.5454545617103577,0.6352941393852234,1.0
hybrid_b500_s500_t120,1000,acyclic_non_mmp,1043,0.383400533651917,0.14933867273773851,0.09090909361839294,0.18981289565563203,0.2631579041481018,0.38235294818878174,0.4665178507566452,0.5686274766921997,0.8837209343910217
sample_t100_p098,50,all_genuine_nonseed,1954,0.5230833575388792,0.16349647707696638,0.12903225421905518,0.3219540357589722,0.3913043439388275,0.5116279125213623,0.6403048187494278,0.7457627058029175,1.0
sample_t100_p098,50,one_cut_mmp_derivative,103,0.7215319973172494,0.07646620311439277,0.47058823704719543,0.6449673414230347,0.682539701461792,0.7142857313156128,0.7571428418159485,0.8392727017402649,0.9215686321258545
sample_t100_p098,50,same_scaffold_non_mmp,224,0.6606899433370147,0.1439844300429046,0.30612245202064514,0.4811912149190903,0.5820895433425903,0.6538461446762085,0.7578369826078415,0.8588972449302674,1.0
sample_t100_p098,50,scaffold_changing,1598,0.49205049458373623,0.15148162881970986,0.12903225421905518,0.30860256850719453,0.3733333349227905,0.4808909446001053,0.5892245769500732,0.698113203048706,0.949999988079071
sample_t100_p098,50,acyclic_non_mmp,29,0.46537404327557,0.12056914056318484,0.35087719559669495,0.36206895112991333,0.375,0.42105263471603394,0.5185185074806213,0.566555666923523,0.8181818127632141
sample_t100_p098,100,all_genuine_nonseed,2939,0.5039380932440357,0.15860701667270546,0.12903225421905518,0.3103448152542114,0.37634408473968506,0.4897959232330322,0.6138357222080231,0.7246376872062683,1.0
sample_t100_p098,100,one_cut_mmp_derivative,132,0.7209749341462598,0.08089985439582895,0.47058823704719543,0.6318357765674592,0.6818181872367859,0.710899293422699,0.7614062428474426,0.8396363377571107,0.9215686321258545
sample_t100_p098,100,same_scaffold_non_mmp,283,0.646254624894988,0.14721742540617863,0.29885056614875793,0.4576271176338196,0.5503129661083221,0.6428571343421936,0.7419354915618896,0.8512928247451782,1.0
sample_t100_p098,100,scaffold_changing,2483,0.4766893360015129,0.14538819532487787,0.12903225421905518,0.30434781312942505,0.3636363744735718,0.46052631735801697,0.5688259303569794,0.6800000071525574,0.949999988079071
sample_t100_p098,100,acyclic_non_mmp,41,0.47306547804576593,0.12683237485474977,0.35087719559669495,0.36206895112991333,0.375,0.4464285671710968,0.5185185074806213,0.5686274766921997,0.8837209343910217
sample_t100_p098,250,all_genuine_nonseed,5006,0.47489006176763565,0.15061026127905405,0.12903225421905518,0.2978723347187042,0.36097999662160873,0.4523809552192688,0.5692307949066162,0.6875,1.0
sample_t100_p098,250,one_cut_mmp_derivative,161,0.7175232418205427,0.07920930463686678,0.47058823704719543,0.6296296119689941,0.6774193644523621,0.7096773982048035,0.7571428418159485,0.8301886916160583,0.9215686321258545
sample_t100_p098,250,same_scaffold_non_mmp,363,0.6362984266655505,0.14611047569478033,0.2857142984867096,0.44323196411132815,0.5446571111679077,0.6363636255264282,0.7323943376541138,0.8333333134651184,1.0
sample_t100_p098,250,scaffold_changing,4419,0.45280900271830715,0.1370021788784285,0.12903225421905518,0.2926829159259796,0.350763276219368,0.43529412150382996,0.535973072052002,0.6428571343421936,1.0
